DEAL_ID,STAGE_CREATED_AT,PIPELINE_ID,PIPELINE_NAME,DEAL_STAGE_ID,STAGE_NAME,STAGE_DISPLAY_ORDER
13622548601,2023-11-08T15:06:22.921Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
13622548601,2023-11-08T12:19:34.925Z,default,Mid Market Pipeline,f08680df-ebe7-4186-bf77-d251deb988df,Keep Warm,4
13622548601,2023-07-05T22:07:57.766Z,default,Mid Market Pipeline,7a4a93c3-1a67-41df-a897-eebfb3635996,Proof of Value,7
13622548601,2023-06-30T21:28:31.808Z,default,Mid Market Pipeline,50c5d313-d204-4ec7-9a0e-203e0a4c02c1,Qualified,6
13622548601,2023-06-07T22:58:59.19Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13636256278,2023-06-08T15:59:45.292Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13647504046,2023-11-20T14:17:50.792Z,default,Mid Market Pipeline,decisionmakerboughtin,Proposal/Pricing,8
13647504046,2023-06-30T18:31:11.852Z,default,Mid Market Pipeline,7a4a93c3-1a67-41df-a897-eebfb3635996,Proof of Value,7
13647504046,2023-06-26T18:35:57.062Z,default,Mid Market Pipeline,50c5d313-d204-4ec7-9a0e-203e0a4c02c1,Qualified,6
13647504046,2023-06-16T16:54:19.493Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13647628663,2023-06-09T16:30:26.866Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13648349357,2023-06-12T07:46:21.095Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13657189957,2023-08-29T08:23:22.89Z,default,Mid Market Pipeline,contractsent,Procurement/Negotiation,9
13657189957,2023-08-24T11:26:56.536Z,default,Mid Market Pipeline,decisionmakerboughtin,Proposal/Pricing,8
13657189957,2023-07-28T09:03:08.918Z,default,Mid Market Pipeline,7a4a93c3-1a67-41df-a897-eebfb3635996,Proof of Value,7
